text,true,pred
a_NEG movie_NEG for_NEG everyone_NEG movie num lover black comedy cast including richard dreyfus vic jeff goldblum mick larry bishop nick gabriel byrne ben ball london lead line ca help_NEG but_NEG be_NEG dry_NEG supporting cast nearly dead center counting minor flaw movie ellen barkin make-up gave face washed look couple gim cameo joey bishop richard pryor served purpose_NEG michael pollard screen time short cast just incredible ego wreck fine script seen larry bishop writer director film underworld dark crime flick enjoy outing writer director actor hell ride michael madsen quentin tarantino,positive,negative
opinion movie entire video portion movie absolute trash soundtrack used contained music great heavy metal rock band recognized music band called firstryke album just nightmare written curious rest movie buff think remember far appreciate feed collect old movie obscure movie sound track time consuming hobby rewarding seen band music sold germany net dollar album to_NEG bad_NEG hugh_NEG,negative,positive
people find according jim great television comedy going rock world add kudos proving good talent good writing charismatic star really need network abc prefers air crap like jim belushi year year k- num big steaming brown german shepherd-sized thank genius loved movie exactly fan film lesser belushi deserve jim comedic chop choice project far_NEG behind_NEG his_NEG ability_NEG to_NEG butcher_NEG a_NEG blue_NEG standard_NEG look try showcase diverse lack talent project hurl public like surly zoo chimpanzee enjoy jim work movie reward,negative,positive
froggie upset ha_NEG a_NEG big_NEG party_NEG like_NEG all_NEG the_NEG other_NEG kid_NEG spanky gang seek remedy giving surprise party unaware decoration preparation froggy sabotage late party okay gang comedy work fit start bit work think_NEG it_NEG really_NEG work_NEG a_NEG a_NEG whole_NEG problem know going humor need form surprise work thing fall think weird way film just sort miss type thing actually thought amounted misfire worth trying lower expectation,negative,positive
hollywood long love affair bogus arabian night tale product stood test time memorable jon hall maria montez film long camp filled dubbed song anachronistic slang slapstick truly bounteous crop mesopotamian corn pretty near intolerable today nominated imaginative special effect unnoticeable day age consisting mainly trick photography outstanding positive feature survives beautiful color clarity sad say film genre come alexander korda original thief baghdad arabian night film superior loser,negative,positive
saw winnie heffalump couple day ago nice story based known character created winnie piglet tigger rabbit present animated feature main character roo time befriends scary heffalump prof scary_NEG at_NEG all_NEG and_NEG show_NEG everybody_NEG that_NEG friendship_NEG know_NEG boundary_NEG and_NEG everybody_NEG want_NEG and_NEG deserves_NEG to_NEG be_NEG happy_NEG love film love num num year younger ala like kid enjoy heffalump story left sense sadness loss sort childishness innocence movie glad hear carly simon sing joel mcneely provided great score,negative,positive
stale misfits-in-the-army saga half-heartedly attempt surreal foreign subtitle vulgar flatulence gag just end mix different kind humor followed successfully barbara bach bond girl spy loved brief scene waste num num,negative,positive
closet land nasty piece work superb actor happens movie unending abuse attractive woman prisoner sadistic police official setting minimalist considered soft core s m porn drama devoid reference point time place political context happens cut adrift fantasy futuristic environment abuse purely personal pornographic aspect justified warning evil totalitarian government real_NEG context_NEG for_NEG the_NEG torture_NEG of_NEG this_NEG young_NEG woman_NEG come away disturbed having learned point torture exists world abusing prisoner bad dictatorship abuse innocent people know closet land echo work darkness noon ionesco rhinoceros work competent artist work historical context depth meaning work amateurish dialogue sophomoric definite thumb,negative,positive
youth pastor heard good thing movie watched acting the_NEG best_NEG forgivable message jesus life change - tackle better make amazing catch stop fumbling start making touchdown pass make playoff jesus magically turn horrible undersized weakling all-american athlete laughed loud coach quoted scripture explain kicker missing field goal wait all_NEG brand new truck num raise wife struggle infertility suddenly end pregnancy - twice win state championship god help weakling kick winning field goal num yard kicked - wind less_NEG -_NEG all_NEG because_NEG ``_NEG god_NEG wanted_NEG him_NEG to_NEG make_NEG it_NEG win state championship year good stuff happened team chosen_NEG to_NEG follow_NEG jesus_NEG will_NEG all_NEG their_NEG heart_NEG took away movie god want want - making life better easier enjoyable chooses favorite team help win game bible story based bet saint stephen wished known key safe life stoned death movie num num apostle killed following jesus saved lot trouble,negative,positive
good earth boring film seen life plot slow lacking acting borderline comical love paul muni say seen film doe do_NEG his_NEG true_NEG ability_NEG justice_NEG saving grace film production value use hundred extra film creates believable interesting environment beautiful effect used create illusion million wasp sell easily revolutionary time production value say little good entertaining film,negative,positive
good blueprint study corporate power dichotomoy required public life need privacy robert taylor primed corporate head burl ives surrogate son replace head corporation sends england negotiate deal taylor taken aback ethic morality men dealing manages fall love refugee come emtpy handed having duty having told truth english motif attempt marry refugee bos niece begin attempt ives discredit refugee suitable wife corporate executive gritter nastier romantic - time spent romance skews film away point trying make corporate ethic costume design nominated undeservedly oscar - business suit woman film dress conservatively - studio politics work doubt_NEG stiking black white cinemascope cinematography excellent - deserved oscar nom mgm film b w a_NEG good_NEG a_NEG it_NEG could_NEG have_NEG been_NEG but_NEG terrible_NEG either_NEG,negative,positive
private campground plymouth massachusetts num grandparent founder parent site starting num brother site doe have_NEG anything_NEG directly_NEG to_NEG do_NEG with_NEG the_NEG movie_NEG bear spent summer blueberry hill year old eighteen people like film speaks one group camp wood tell good happy place experienced_NEG the_NEG lifestyle_NEG indian summer probably lost bother_NEG quick-paced_NEG doe have_NEG rapid_NEG cut_NEG plot in_NEG the_NEG least_NEG bit_NEG convoluted_NEG explosion_NEG dramatic tension exists mild any_NEG a-list_NEG actor_NEG rapid-fire_NEG quip_NEG just_NEG to_NEG show_NEG off_NEG how_NEG clever_NEG the_NEG scriptwriter_NEG are_NEG (_NEG other_NEG than_NEG kimberley williams killer line ``_NEG overwind_NEG his_NEG toy_NEG the_NEG least_NEG degree_NEG what_NEG this_NEG movie_NEG is_NEG about_NEG godfather slasher flick just lot screen gore indian summer godfather polar opposite experienced lifestyle movie read_NEG any_NEG more_NEG just num num film,positive,negative
for_NEG the_NEG terrific_NEG music_NEG hesitate_NEG to_NEG give_NEG this_NEG cinematic_NEG underachievement_NEG num_NEG /_NEG num_NEG music actually make like certain passage num num,negative,positive
cinemascope color cinematography leon shamroy quite remarkable including use colored filter various scene alfred newmann score sensual seductive score hollywood produced shame longer_NEG available_NEG on_NEG cd_NEG actor rise_NEG to_NEG the_NEG occasion_NEG accent varied subdued british ustinov purdom hollywood baxter mature true hodgepodge central_NEG vision_NEG tommy rettig jarringly american acting style span range zombie-like stilted ustinov conniving one-eyed servant steal - steal premise - story young egyptian doctor seduced abandoned rich - parallel theme cult single god ra - persecuted authority interesting point film plot fade haunting music visuals remain,negative,positive
remember watching bsg pilot night exactly remember chair sat magic came alive enjoyed year bsg enjoyed part year watched episode fourth year totally faithfully great hope turn did watched caprica pilot enthralled hope good started watching regular episode getting boring obvious predictable reminds droll political correctness failed virtuality line work d num good focused bsg organized way good especially true early followed pattern episode set bsg series departed meeting admiral cain pegasus went pot like wrote rest knowing going maybe improve maybe just weak initial episode nervous,negative,positive
movie great way series finally end peter boy puppet master iii grown puppet master girl come destroy puppet learn toulon secret instead listens story puppet movie footage puppet master ii puppet master iii puppet master num puppet master num curse puppet master retro puppet master sorry guess paramount let_NEG them_NEG use_NEG scene_NEG from_NEG num_NEG )_NEG personally wish puppet master demonic toy finally way movie end basically say final movie series,positive,negative
interesting true story archie grey owl dreamed indiain child age num born england moved canada adotped indiains writes collums magazine wrote book caugt attention million book life end told wife a_NEG real_NEG indiain_NEG and_NEG she_NEG wa_NEG fine_NEG with_NEG it_NEG and_NEG he_NEG died_NEG at_NEG the_NEG age_NEG of_NEG num_NEG two_NEG year_NEG after_NEG he_NEG went_NEG back_NEG into_NEG the_NEG wildness_NEG,positive,negative
despite moment heavy rain encounter drunk organ grinder gypsy monkey stay sanitarium roscoe fatty arbuckle silent comedy short support buster keaton al john fitfully amusing quite funny sequence arbuckle drag flirting buster ultimate meet cute scene especially time great stone face smile laugh movie scene jump cut edited possibly overuse film stock arbuckle keaton completist good night nurse certainly worth look,negative,positive
know critic audience say satire numerous political social message name make refer name realize_NEG such_NEG thing_NEG (_NEG i_NEG do_NEG want_NEG to_NEG do_NEG anyway_NEG )_NEG because_NEG i_NEG am_NEG interested_NEG in_NEG interested movie said movie clever dramatically powerful see_NEG anything_NEG which_NEG we_NEG do_NEG see_NEG in_NEG monster_NEG movie_NEG except_NEG the_NEG scene_NEG which_NEG take_NEG place_NEG in_NEG a_NEG office_NEG in_NEG the_NEG second_NEG half_NEG yes scene say somethings humanity doe make_NEG the_NEG movie_NEG brilliant_NEG movie entertaining mildly exciting moment scene more_NEG than_NEG that_NEG biggest flaw movie visual effect just shocking pull_NEG myself_NEG together_NEG for_NEG a_NEG while_NEG expected realistic monster one_NEG of_NEG the_NEG old_NEG gojira_NEG movie_NEG num like believe_NEG that_NEG there_NEG is_NEG a_NEG monster_NEG care_NEG about_NEG agree highly recommend cloverfield extremely realistic design monster interesting_NEG planned effort dramatically powerful critique critic talk kurosawa movie yes drama thriller action mean_NEG that_NEG it_NEG is_NEG dramatically_NEG powerful_NEG want_NEG to_NEG compare_NEG the_NEG host_NEG with_NEG other_NEG monster_NEG movie_NEG try mean host doe do_NEG something_NEG that_NEG other_NEG monster_NEG movie_NEG do_NEG do_NEG way people movie masterpiece sympathy asian cinema yes like asian cinema fact,negative,positive
carole lombard james stewart gamely try inject life meaning bizarrely constructed film tribulation newlywed couple scene play parceled various director different goal capra-cute screwball melodramatic surprisingly noir extended adventure sequence plot suddenly focus small plane flying blizzard hard say scene incongruous film erratic tone storyline exactly_NEG believable_NEG worth watching film student fan actor -- smaller part judge doolittle intrepid pilot played,negative,positive
interested obtaining copy film read description telecast cbs november num num made-for-tv finding john christmas sequel previous year town christmas peter falk reprising role versatile guardian angel max valerie bertinelli play kathleen mcallister divorced small-town nurse depression fact hospital er maintains forced shut num num debt briefly lifted spot newspaper picture taken photojournalist noah greeley david cubitt picture show act bravery performed noah firefighter brother hank william rus mysteriously left town num year ago been_NEG seen_NEG since_NEG hank like quietly slip town explanation fanfare prof impossible noah newspaper post num num reward identify hank known public john christmas curious photo show santa claus suit seemingly floating midair occupant elusive santa course angelic max pop story variety guise solve problem dispense advice tie loose plot strand -- share musical duet kathleen talented daughter socorro jennifer pisana interested having copy write iamaseal num,positive,negative
despite overwhelming cult following sad documentary admit having cordially loathed film struck party far distressing exploitation piece usefully informative said seeing magnificent stage musical drawn appreciate film surer hand suspect actively suffered film campy delight crueler fan enjoyed destroyed uncomfortable suspicion - know - misstep away deplorable plight mad woman depicted live contribute squalor incapable controlling escaping film leaf viewer desperately wondering person slid level degradation unlike musical offer cautionary_NEG clue_NEG or_NEG explanation_NEG horror unredeemed humor insight soul crushing flatness film make achievement stage version hopefully filmed ultimately cable remarkable act ii faithful film discussion strangely setting sad inmate plight music raise human tragedy art important act preceded fine act meet woman decent mutually enabled madness offered hint isolated purgatory came short film lacking filmmaker credit successor excellent criterion dvd release includes out-takes bonus material partially redeem main film - scene photograph interview commentary - filling blank spot original editing consciously decided omit drive unadulterated horror depression ca make_NEG the_NEG amateurish_NEG film_NEG itself_NEG satisfying_NEG make bit comprehensible ultimately remarkable stage piece inspired drawn book writer doug wright composer scott frankel lyricist michael korie raise rating original grey garden single generous star,negative,positive
review read far missed crucial point shakespeare wrote accent pronunciation just did northerner play scottish accent change emphasis rhythm language affect profoundly said way taken listen note difference play rhythm word better provided people using received polite well- enunciated english reminded time teacher school leicester unknowingly asked age num read piece walter scott written tone border come border read read difference,positive,negative
movie great understand_NEG the_NEG disrespect_NEG it_NEG get_NEG 's_NEG scene like num - num actually scary num horror fan problem_NEG with_NEG this_NEG film_NEG it_NEG ha_NEG everything_NEG that_NEG make_NEG num_NEG 's_NEG horror_NEG great_NEG got meet actor cool great_NEG about_NEG a_NEG creepy_NEG old_NEG house_NEG demon crazy party horny good looking young people dialog special fx movie classic film took care classic rumor horror black guy doe alway_NEG 's_NEG have_NEG to_NEG die_NEG in_NEG the_NEG end.even_NEG though_NEG this_NEG movie_NEG wa_NEG great_NEG there_NEG is_NEG one_NEG thing_NEG that_NEG remains_NEG undiscovered_NEG to_NEG me_NEG what_NEG really_NEG happened_NEG to_NEG the_NEG old_NEG couple_NEG at_NEG the_NEG end_NEG wa_NEG it_NEG on_NEG purpose_NEG or_NEG that_NEG little_NEG side_NEG story_NEG thing_NEG alway_NEG 's_NEG had_NEG me_NEG puzzled_NEG,positive,negative
think anybody dumb risk wax dummy just football game want_NEG to_NEG leave_NEG their_NEG car_NEG ``_NEG to_NEG get_NEG stripped_NEG ''_NEG deserves_NEG whatever_NEG happens_NEG to_NEG them_NEG guy wade went barbershop asked he-man haircut my_NEG type_NEG really cute scene having eyebrow facial hair waxed little high-maintenance fun my_NEG type_NEG is_NEG the_NEG fat_NEG guy_NEG in_NEG the_NEG big_NEG sunglass_NEG who_NEG look_NEG ``_NEG like_NEG elton_NEG john_NEG only_NEG gayer_NEG plot go blake hot so_NEG into_NEG his_NEG girlfriend_NEG phony paris hilton bad wig chihuahaua_NEG in_NEG her_NEG handbag_NEG really precious think_NEG girl_NEG who_NEG look_NEG like_NEG that_NEG go_NEG to_NEG football_NEG game_NEG anyways_NEG nick car thief sexiest best part football land instead throwing chuck cigarette burn football just kind guy sister look dumb borrowing white wife-beater bra strap showing like num num movie just want wax leg ever_NEG go_NEG to_NEG football_NEG game_NEG after_NEG seeing_NEG this_NEG,positive,negative
probable reason people site enjoyed num have_NEG read_NEG the_NEG book_NEG num enjoy gore violence film num young understand_NEG the_NEG violence_NEG num people understand_NEG how_NEG somehow_NEG more_NEG scary_NEG and_NEG more_NEG violent_NEG it_NEG is_NEG compared_NEG to_NEG the_NEG original_NEG book_NEG num sure reason covered_NEG here_NEG thing liked film song eye perchance happen people read book enjoys calm peaceful film violence quite old understand scariness violence sure to_NEG like_NEG this_NEG definitely enjoy like book rabbit called fiver unsuspecting warren warns terrible danger come rabbit - including brother hazel - believe set dangerous journey new place live,negative,positive
actually liked movie because_NEG of_NEG it_NEG `_NEG s_NEG plot_NEG acting joke liked s worse movie created s lame bad terribly funny joke actually cool rest make pray unemployment scriptwriter men white dumb stupid thing turn tv roll floor laughing beer help lot chose second option,positive,negative
ok really_NEG think_NEG that_NEG trailer_NEG park_NEG boy_NEG ha_NEG bad_NEG story_NEG line_NEG kick as just conflict example near end movie show ricky julian telling patrick lewis dog walk away end show ricky julian saying jail num year tv series pilot clip clip ricky julian yelling patrick lewis tv series supposedly jail num month impression movie story line tv series story line connected yelling scene guy actor portray totally different character course patrick roach play patrick lewis movie series play randy sam tarasco play guy pay ricky extermination play sam losco series know lot say movie guy snort coke instead smoking hash thing actually_NEG confirm_NEG that_NEG the_NEG two_NEG story_NEG line_NEG are_NEG connected_NEG in_NEG anyway_NEG yelling scene sorry blabbing,positive,negative
expectation_NEG other_NEG than_NEG to_NEG be_NEG entertained_NEG for_NEG num_NEG minute_NEG exactly course campy course dialog perfect_NEG course special effect bit hokey exactly enjoyed movie perfect fit genre num horror classic talent need start go actor crew better piece material sharpen skill look forward film producer director,negative,positive
british teen movie centre girl justine accidentally creating dream man jake use virtual reality machine problem just get trapped inside body geek person know truth person trust sound lot worse watchable reason laura fraser starring film content look stunning especially dress red lycra dress order impress jake wow virtual reality machine,negative,positive
sickly sweet laboriously paced num -reeler definitely among_NEG harold_NEG lloyd_NEG 's_NEG better_NEG film_NEG gag sparse uninspired saccharine melodrama abundant setup take forever lloyd unconventional impossibly kindly country doctor make round bringing little sunshine life child elderly puppy like num version patch adam ugh num num,negative,positive
willing rendition benefit doubt came negative press read concerning three-quarters way thought jumbled bit incoherent solid tale reaching conclusion fell wanting_NEG to_NEG necessarily_NEG ruin_NEG the_NEG film_NEG for_NEG anyone_NEG conclusion flip held fact thing happening particular_NEG reason_NEG whatsoever_NEG except_NEG to_NEG maybe_NEG tell_NEG the_NEG world_NEG yeah cool know love good twist love good ah-ha moment relevant story hand complete misguidance filmmaker serf purpose_NEG on_NEG the_NEG overall_NEG tale_NEG timeline did need_NEG to_NEG be_NEG parallel_NEG and_NEG they_NEG did_NEG need_NEG to_NEG be_NEG separated_NEG by_NEG a_NEG week_NEG revelation did destroy merit director gavin hood screenwriter kelley sane good thing looking really_NEG a_NEG solid_NEG a_NEG movie_NEG a_NEG i_NEG initially_NEG wa_NEG going_NEG to_NEG blindly_NEG give_NEG it_NEG credit_NEG for_NEG admirable thing try term rendition film-going public consciousness needed story delved deeper connotation politics involved gloss issue tale woman distress husband disappearance angst-filled rebellion daughter interrogator father understand bottom-line film attendee need human quality grasp reason fault_NEG it_NEG for_NEG going_NEG that_NEG route_NEG qualm get_NEG enough_NEG of_NEG what_NEG the_NEG title_NEG say_NEG we_NEG should_NEG be_NEG getting_NEG instead shown numerous plot line confusingly brought forefront sent nether region consciousness to_NEG be_NEG returned_NEG to_NEG going forget supposed caring wife interrogator cia agent victim senator middle eastern daughter zealot boyfriend end really just gave let film ended totally different laid occurs happens result bomb explosion bomb center story thread finally end innocuous ca believe_NEG how_NEG huge_NEG the_NEG wave_NEG it_NEG spread_NEG were_NEG old butterfly wing flapping quote effect boy mission revenge end destroying life death destruction physical emotional abuse career suicide one_NEG really_NEG escape_NEG unscathed_NEG end day story man excised egypt torture really interesting led believe unequivocally innocent start waterboarded electrocuted order extract information power include man compassion_NEG or_NEG reason_NEG to_NEG stop_NEG until_NEG something_NEG is_NEG spilled_NEG true )_NEG observer gut partake stop situation lends intrigue possibly end actor involved best part film prove movie concerned entirety want_NEG to_NEG belittle_NEG people_NEG like_NEG reese_NEG witherspoon_NEG victim wife senate employed ex played peter sarsgaard actual good job given meryl streep kooky accent alan arkin detract_NEG too_NEG much_NEG trio jake gyllenhaal cia agent yigal naor interrogator omar metwally victim truly shine naor brilliant egyptian trying stay sharp razor working hour compassionate worry-filled father attempting locate daughter man brutal occupation call relied answer metwally give_NEG a_NEG false_NEG second_NEG during_NEG the_NEG pain_NEG and_NEG suffering_NEG inflicted_NEG upon_NEG him_NEG lying truly know terrorist calling cell phone totally buy plight desperately wait situation turn gyllenhaal performance recycled career varying degree success find suit demon entering soul ordeal forced wear body mind causing ambivalence need intervene feeling wrestle make final decision stoic boyish demeanor suit battle perfectly just bad plot line working find_NEG itself_NEG a_NEG the_NEG main_NEG focal_NEG point_NEG despite namesake film clutter edge audience bounced lulled sense time sequence slapped face unravels laugh bet did see_NEG that_NEG coming_NEG felt cheated unfortunately lasting effect taken movie straightforward enjoyed positive severely flawed,negative,positive
just good original num better_NEG course cruella steal outrageous behaviour outfit movie probably public wanted cruella lot time round like ioan gruffudd kevin bumbling male lead use paris climax movie clever idea movie worth watching age provided like animal,positive,negative
sitting flat saturday night choice watching citizen x eurovision song contest benefit american reading explain tesc annual event musician country europe asia minor song contest end contest country vote best song contest exciting sound come_NEG a_NEG a_NEG shock_NEG when_NEG i_NEG say_NEG that_NEG singing_NEG and_NEG songwriting_NEG is_NEG of_NEG the_NEG calibre_NEG of_NEG lennon_NEG and_NEG mccartney_NEG correct sentence review word choice misleading music lover going_NEG to_NEG watch_NEG tesc_NEG under_NEG any_NEG circumstance_NEG sat credit rolled citizen x expecting run serial killer whodunnit misleading calling obvious num minute citizen x whodunnit film doe point failure communism serial killer comrade soviet union serial killer exist decadent imperialist capitalist system farcical attitude go far denial scene undercover cop sits freezing train station keeping eye potential suspect whilst wearing police jacket warm coat got course suspect member communist party released interrogation affect final death toll shown communist party trial third way citizen x num communism leg reform police investigation taken place point film uninteresting lack political subtext film descends average manhunt film let_NEG that_NEG put_NEG you_NEG off_NEG citizen x intelligent thriller played cast especially donald sutherland paternal police chief strangely year ago read written famous criminologist colin wilson said line serial killer let caught center attention medium spotlight sympathising party chief denying serial killer soviet union medium controlled party old listened radio moscow read english translation pravda know ussr reported news story like potato harvest coal production thank letter afghanistan cuba soviet assistance concept serial killer communist illogical guess tree fall remote siberian forest make sound one_NEG is_NEG around_NEG to_NEG hear_NEG it_NEG,positive,negative
